CODGEO;LIBGEO;DATE_ARRETE;NB__voiture_rechargeable;NB_Voiture;Population_totale;Superficie;M�diane_niveau_vie;Pop_15_64_ans;Nombre_borne;Puissance
69255;VAUGNERAY;31/03/2025;245;6281;6091;25,02;26950;3687;6;22
69256;VAULX-EN-VELIN;31/03/2025;999;49623;52139;20,95;17180;32329;81;55,61846154
69257;VAUX-EN-BEAUJOLAIS;31/03/2025;35;1283;1131;17,74;24940;721;#N/A;#N/A
69258;VAUXRENARD;31/03/2025;11;360;317;19,19;23900;182;#N/A;#N/A
69259;VÉNISSIEUX;31/03/2025;2069;65193;66363;15,33;17140;41049;251;47,72095238
69260;VERNAISON;31/03/2025;193;4756;5140;4,03;27760;3093;6;11,01333333
69261;VERNAY;31/03/2025;3;70;110;5,59;s;51;#N/A;#N/A
69263;VILLECHENÈVE;31/03/2025;20;963;894;14,15;22900;561;#N/A;#N/A
69264;VILLEFRANCHE-SUR-SAÔNE;31/03/2025;957;38349;35913;9,48;19640;22046;134;33,90272727
69265;VILLE-SUR-JARNIOUX;31/03/2025;30;925;811;10,11;29320;505;#N/A;#N/A
69266;VILLEURBANNE;31/03/2025;4066;123417;156928;14,52;21540;109086;79;27,44266667
69267;VILLIÉ-MORGON;31/03/2025;63;2261;2127;18,74;24700;1280;#N/A;#N/A
69268;VOURLES;31/03/2025;272;3861;3374;5,6;32340;2018;19;28
69269;YZERON;31/03/2025;34;1155;965;10,75;25190;648;3;15
69270;CHAPONNAY;31/03/2025;333;5760;4465;18,89;31360;2637;45;64,51
69271;CHASSIEU;31/03/2025;777;12166;11092;11,57;28750;6846;20;18,18
69272;COMMUNAY;31/03/2025;165;4804;4508;10,54;28770;2773;28;84
69273;CORBAS;31/03/2025;510;11705;10932;11,88;25250;6939;28;29,24670833
69275;DÉCINES-CHARPIEU;31/03/2025;939;30161;29731;17,01;22050;18405;12;39,33714286
69276;FEYZIN;31/03/2025;373;11729;9850;9,64;22210;6139;5;32
69277;GENAS;31/03/2025;815;15097;13483;23,84;30610;8446;32;45,5
69278;GENAY;31/03/2025;380;6291;5520;8,49;26920;3384;2;22
69279;JONAGE;31/03/2025;484;7320;6160;12,11;28030;3894;6;11,68
69280;JONS;31/03/2025;73;1805;1530;7,41;27110;931;#N/A;#N/A
69281;MARENNES;31/03/2025;109;2201;1963;12,44;29440;1217;#N/A;#N/A
69282;MEYZIEU;31/03/2025;1089;34870;35882;23,01;23860;21845;11;49,936
69283;MIONS;31/03/2025;479;14048;13707;11,57;26070;8523;6;21,58666667
69284;MONTANAY;31/03/2025;188;3172;3249;7,16;33600;2080;2;7,36
69285;PUSIGNAN;31/03/2025;311;5328;4172;13,04;27420;2582;#N/A;#N/A
69286;RILLIEUX-LA-PAPE;31/03/2025;1048;30839;31247;14,48;19980;18711;50;41,8925
69287;SAINT-BONNET-DE-MURE;31/03/2025;378;7687;6920;16,34;28700;4308;24;43
69288;SAINT-LAURENT-DE-MURE;31/03/2025;293;6573;5621;18,63;27380;3531;26;35,8
69289;SAINT-PIERRE-DE-CHANDIEU;31/03/2025;229;5472;4598;29,28;28430;2882;#N/A;#N/A
